project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,gmean_bst,r1_bst,r0_bst,cl_rsme_bst,initial_pf,drop_pf,stable_pf
vscode,15,odasc_filtering,5,0.95,0.9,0.51055,0.28403,0.94348,0,0.0639,0.36478,0.51273
wp-calypso,15,odasc_filtering,5,0.95,0.8,0.63492,0.54054,0.76983,0,0.35384,nan,0.64953
brackets,15,oob,20,0.9,-1,0.58478,0.46386,0.79946,0.54,0.17305,0.45166,0.58857
broadleaf,15,oob,30,0.95,-1,0.5217,0.34198,0.85919,0.54,0.16492,0.37657,0.56567
camel,15,oob,10,0.99,-1,0.64931,0.55419,0.77167,0.54,0.56344,0.48885,0.65282
corefx,15,oob,30,0.95,-1,0.49458,0.26928,0.93921,0.54,0.27802,0.36576,0.51535
django,15,oob,30,0.95,-1,0.53471,0.33743,0.90615,0.54,0.22755,0.38463,0.56678
fabric,15,oob,10,0.95,-1,0.60665,0.45902,0.82841,0.54,0.32511,0.45208,0.62959
jgroups,15,oob,5,0.95,-1,0.43416,0.23249,0.8791,0.54,0.08737,0.3443,0.44997
nova,15,oob,20,0.99,-1,0.48727,0.34399,0.84422,0.54,0.23624,0.26969,0.58916
rails,15,oob,15,0.999,-1,0.54082,0.34565,0.87949,0.54,0.09854,0.39521,0.55153
rust,15,oob,10,0.95,-1,0.27118,0.10192,0.97551,0.54,0.0378,0.14255,0.27153
tensorflow,15,oob,10,0.95,-1,0.61568,0.44688,0.85903,0.54,0.42297,0.46237,0.61677
tomcat,15,oob,15,0.99,-1,0.54865,0.39238,0.80714,0.54,0.1421,0.41827,0.55999
vscode,15,oob,5,0.95,-1,0.43401,0.20316,0.96263,0.193,0.05311,0.32484,0.43991
wp-calypso,15,oob,5,0.95,-1,0.57517,0.39382,0.86624,0,0.30815,0.43996,0.58923
brackets,15,oob_aio,20,0.9,-1,0.46974,0.33248,0.83863,1,0.18812,0.32784,0.47304
broadleaf,15,oob_aio,30,0.95,-1,0.54276,0.37608,0.84454,1,0.50212,0.42519,0.57278
camel,15,oob_aio,10,0.99,-1,0.62559,0.55825,0.7363,1,0.47684,0.58486,0.63047
corefx,15,oob_aio,30,0.95,-1,0.49817,0.30128,0.87928,0,0.31328,0.50784,0.49803
django,15,oob_aio,30,0.95,-1,0.67034,0.55954,0.82323,10.15,0.22861,0.67819,0.67073
fabric,15,oob_aio,10,0.95,-1,0.57182,0.422,0.82889,7.75,0.43799,0.62771,0.56628
jgroups,15,oob_aio,5,0.95,-1,0.39044,0.17521,0.93833,10.3,0.08736,0.30553,0.4043
nova,15,oob_aio,20,0.99,-1,0.64395,0.61552,0.69847,10.15,0.49588,0.59654,0.66652
rails,15,oob_aio,15,0.999,-1,0.57671,0.40231,0.8589,0,0.24222,0.46427,0.58497
rust,15,oob_aio,10,0.95,-1,0.43699,0.24905,0.89238,0,0.45631,0.12482,0.43766
tensorflow,15,oob_aio,10,0.95,-1,0.61981,0.47176,0.8347,9.75,0.53405,0.60102,0.62012
tomcat,15,oob_aio,15,0.99,-1,0.60805,0.51637,0.74007,7.1,0.46932,0.51216,0.61441
vscode,15,oob_aio,5,0.95,-1,0.46591,0.26375,0.91363,0,0.22493,0.49198,0.46486
wp-calypso,15,oob_aio,5,0.95,-1,0.58749,0.42074,0.8515,10.4,0.40028,0.43385,0.59863
brackets,15,oob_filtering,20,0.9,-1,0.58077,0.4591,0.8027,0,0.17367,0.45139,0.58448
broadleaf,15,oob_filtering,30,0.95,-1,0.59202,0.45048,0.79991,0,0.16418,0.56043,0.60949
camel,15,oob_filtering,10,0.99,-1,0.66632,0.6212,0.72639,4.55,0.56457,0.49036,0.6704
corefx,15,oob_filtering,30,0.95,-1,0.49548,0.26922,0.9365,0,0.27788,0.40465,0.51059
django,15,oob_filtering,30,0.95,-1,0.57648,0.39595,0.89185,0,0.22755,0.40612,0.61289
fabric,15,oob_filtering,10,0.95,-1,0.61959,0.48695,0.81323,5.9,0.32511,0.4909,0.63939
jgroups,15,oob_filtering,5,0.95,-1,0.43818,0.23061,0.89729,0,0.08333,0.35067,0.45434
nova,15,oob_filtering,20,0.99,-1,0.46621,0.31708,0.85522,0,0.24048,0.28264,0.55224
rails,15,oob_filtering,15,0.999,-1,0.55267,0.36503,0.87026,8.45,0.09854,0.42273,0.5623
rust,15,oob_filtering,10,0.95,-1,0.27214,0.10441,0.9743,9.1,0.0378,0.14255,0.27249
tensorflow,15,oob_filtering,10,0.95,-1,0.61499,0.44047,0.86685,10,0.42457,0.53558,0.61582
tomcat,15,oob_filtering,15,0.99,-1,0.57926,0.4521,0.7756,11,0.14786,0.50355,0.58826
vscode,15,oob_filtering,5,0.95,-1,0.40716,0.17784,0.96763,12,0.05311,0.298,0.41304
wp-calypso,15,oob_filtering,5,0.95,-1,0.58097,0.40259,0.86149,12.25,0.30163,0.481,0.59479
brackets,15,pbsa,20,0.99,0,0.63106,0.57946,0.72202,0.54,0.20416,nan,0.63315
broadleaf,15,pbsa,20,0.99,0,0.54524,0.37987,0.83233,0.54,0.264,0.42912,0.55999
camel,15,pbsa,20,0.99,0,0.6611,0.58796,0.75858,0.54,0.56553,0.47803,0.66519
corefx,15,pbsa,20,0.99,0,0.58084,0.38333,0.88928,0.54,0.37603,nan,0.58301
django,15,pbsa,20,0.99,0,0.56006,0.37611,0.89383,0.54,0.40912,0.39819,0.59835
fabric,15,pbsa,20,0.99,0,0.64393,0.55165,0.77614,0.54,0.54166,nan,0.6921
jgroups,15,pbsa,20,0.99,0,0.52636,0.37167,0.80114,0.54,0.20386,0.40751,0.54707
nova,15,pbsa,20,0.99,0,0.48488,0.34194,0.84342,0.54,0.23962,0.25941,0.58858
rails,15,pbsa,20,0.99,0,0.55568,0.36282,0.87429,0.54,0.24466,0.41692,0.5612
rust,15,pbsa,20,0.99,0,0.38028,0.17921,0.95184,0.54,0.09932,0.19186,0.38089
tensorflow,15,pbsa,20,0.99,0,0.66298,0.54138,0.81766,0.54,0.57315,nan,0.66454
tomcat,15,pbsa,20,0.99,0,0.55151,0.38589,0.82294,0.54,0.38426,0.41815,0.56401
vscode,15,pbsa,20,0.99,0,0.6025,0.39332,0.92949,0.42,0.37575,nan,0.60541
wp-calypso,15,pbsa,20,0.99,0,0.6338,0.49949,0.8246,0,0.47975,nan,0.65594
brackets,15,pbsa_aio,20,0.99,0,0.59199,0.54156,0.71854,0.134,0.31164,nan,0.59337
broadleaf,15,pbsa_aio,20,0.99,0,0.65085,0.60544,0.71234,0.34,0.60523,0.60114,0.6542
camel,15,pbsa_aio,20,0.99,0,0.64285,0.60382,0.71398,0.255,0.46668,0.59338,0.64871
corefx,15,pbsa_aio,20,0.99,0,0.59786,0.49521,0.74892,0.486,0.368,nan,0.60029
django,15,pbsa_aio,20,0.99,0,0.69287,0.64636,0.75971,0.386,0.48762,0.70116,0.69596
fabric,15,pbsa_aio,20,0.99,0,0.65958,0.62488,0.712,0.147,0.63737,nan,0.67005
jgroups,15,pbsa_aio,20,0.99,0,0.46353,0.24893,0.91204,0.084,0.20473,0.38899,0.48003
nova,15,pbsa_aio,20,0.99,0,0.65233,0.64599,0.67694,0.405,0.52952,0.62385,0.6658
rails,15,pbsa_aio,20,0.99,0,0.5916,0.42502,0.85057,0.076,0.20304,0.52845,0.59455
rust,15,pbsa_aio,20,0.99,0,0.48503,0.3072,0.86066,0.008,0.41734,0.12901,0.48602
tensorflow,15,pbsa_aio,20,0.99,0,0.67728,0.65987,0.70751,0.425,0.57733,nan,0.67902
tomcat,15,pbsa_aio,20,0.99,0,0.61663,0.54767,0.71678,0.246,0.57368,0.5399,0.62068
vscode,15,pbsa_aio,20,0.99,0,0.57183,0.39739,0.86989,0.02,0.27333,nan,0.57567
wp-calypso,15,pbsa_aio,20,0.99,0,0.65192,0.5949,0.74003,0.507,0.45726,nan,0.6799
brackets,15,pbsa_filtering,20,0.99,0,0.626,0.55929,0.7384,0.42,0.20474,nan,0.62806
broadleaf,15,pbsa_filtering,20,0.99,0,0.60478,0.51307,0.73843,0.193,0.26307,0.57906,0.61912
camel,15,pbsa_filtering,20,0.99,0,0.67409,0.63466,0.72882,0.409,0.56558,0.44508,0.67885
corefx,15,pbsa_filtering,20,0.99,0,0.58316,0.3863,0.89115,0.144,0.37763,nan,0.58533
django,15,pbsa_filtering,20,0.99,0,0.61278,0.46634,0.85696,0.163,0.40945,0.42705,0.65742
fabric,15,pbsa_filtering,20,0.99,0,0.65074,0.58953,0.74231,0.157,0.55115,nan,0.69766
jgroups,15,pbsa_filtering,20,0.99,0,0.53161,0.37194,0.8163,0.409,0.20494,0.44962,0.55237
nova,15,pbsa_filtering,20,0.99,0,0.46239,0.31536,0.85413,0.205,0.24388,0.2694,0.55119
rails,15,pbsa_filtering,20,0.99,0,0.57621,0.39567,0.86091,0.149,0.24466,0.45339,0.5812
rust,15,pbsa_filtering,20,0.99,0,0.38474,0.18233,0.95074,0.01,0.09932,0.19114,0.38537
tensorflow,15,pbsa_filtering,20,0.99,0,0.67123,0.55669,0.81415,0.228,0.57891,nan,0.67284
tomcat,15,pbsa_filtering,20,0.99,0,0.58647,0.46527,0.77556,0.165,0.37857,0.50082,0.60041
vscode,15,pbsa_filtering,20,0.99,0,0.5858,0.37354,0.9252,0.051,0.37616,nan,0.5885
wp-calypso,15,pbsa_filtering,20,0.99,0,0.64087,0.52033,0.80817,0.256,0.47952,nan,0.66406
