project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,gmean_bst,r1_bst,r0_bst,cl_rsme_bst,initial_pf,drop_pf,stable_pf
brackets,15,odasc,20,0.9,0.8,0.62693,0.61578,0.67443,0.54,0.20416,0.4167,0.64454
broadleaf,15,odasc,30,0.95,0.9,0.60944,0.50446,0.76154,0.54,0.27264,nan,0.61725
camel,15,odasc,10,0.999,0.8,0.67712,0.71836,0.64707,0.54,0.58969,0.48089,0.68311
corefx,15,odasc,15,0.95,0.8,0.54023,0.33463,0.90189,0.54,0.33407,0.42277,0.54483
django,15,odasc,30,0.9,0.9,0.67661,0.5786,0.81375,0.54,0.54491,0.5231,0.69956
fabric,15,odasc,30,0.95,0.9,0.64848,0.55261,0.78594,0.54,0.47564,0.48625,0.67344
jgroups,15,odasc,20,0.95,0.9,0.50821,0.33617,0.83096,0.54,0.10094,nan,0.52708
nova,15,odasc,30,0.99,0.8,0.59369,0.51797,0.7462,0.54,0.41096,0.41207,0.64204
rails,15,odasc,10,0.99,0.9,0.64038,0.55174,0.76218,0.54,0.53534,0.48159,0.64855
rust,15,odasc,10,0.95,0.8,0.3182,0.13851,0.96281,0.54,0.06256,0.18552,0.31876
tensorflow,15,odasc,10,0.95,0.8,0.68073,0.60465,0.77161,0.54,0.59374,nan,0.68229
tomcat,15,odasc,10,0.99,0.9,0.61421,0.58603,0.67343,5.9,0.46759,0.44791,0.62747
vscode,15,odasc,5,0.95,0.9,0.51038,0.28276,0.94618,4.55,0.0639,0.36301,0.51257
wp-calypso,15,odasc,5,0.95,0.8,0.62974,0.51723,0.78993,0,0.35663,nan,0.64394
brackets,15,odasc_aio,20,0.9,0.8,0.59793,0.60302,0.66213,0.54,0.18401,0.25612,0.62512
broadleaf,15,odasc_aio,30,0.95,0.9,0.64291,0.76117,0.55906,0.54,0.52898,nan,0.64555
camel,15,odasc_aio,10,0.999,0.8,0.62835,0.84537,0.47632,0.54,0.54549,0.59944,0.63316
corefx,15,odasc_aio,15,0.95,0.8,0.60861,0.57055,0.68194,0.54,0.36499,0.61271,0.61052
django,15,odasc_aio,30,0.9,0.9,0.69719,0.66988,0.73723,0.54,0.59374,0.65849,0.71117
fabric,15,odasc_aio,30,0.95,0.9,0.6609,0.74805,0.60531,0.54,0.40274,0.67006,0.66606
jgroups,15,odasc_aio,20,0.95,0.9,0.51833,0.34053,0.83286,0.54,0.10159,nan,0.53763
nova,15,odasc_aio,30,0.99,0.8,0.5754,0.8437,0.41796,0.54,0.36358,0.60683,0.57185
rails,15,odasc_aio,10,0.99,0.9,0.66446,0.6699,0.67644,0.54,0.5103,0.57913,0.67552
rust,15,odasc_aio,10,0.95,0.8,0.52052,0.38498,0.7934,0.54,0.43903,0.35999,0.52114
tensorflow,15,odasc_aio,10,0.95,0.8,0.67984,0.6768,0.69186,0.54,0.60499,nan,0.68118
tomcat,15,odasc_aio,10,0.99,0.9,0.54512,0.82982,0.37882,0.54,0.32753,0.47,0.56188
vscode,15,odasc_aio,5,0.95,0.9,0.56671,0.41389,0.82955,0.54,0.21994,0.39785,0.56905
wp-calypso,15,odasc_aio,5,0.95,0.8,0.65762,0.66818,0.65852,0.54,0.49491,nan,0.66608
brackets,15,odasc_filtering,20,0.9,0.8,0.62192,0.58945,0.69794,0,0.20474,0.41723,0.6391
broadleaf,15,odasc_filtering,30,0.95,0.9,0.63404,0.61555,0.67315,0,0.27412,nan,0.6424
camel,15,odasc_filtering,10,0.999,0.8,0.67459,0.75604,0.61406,0,0.58852,0.43965,0.68071
corefx,15,odasc_filtering,15,0.95,0.8,0.5366,0.32378,0.91135,0,0.33347,0.44088,0.54064
django,15,odasc_filtering,30,0.9,0.9,0.69074,0.6229,0.78053,0,0.54564,0.64492,0.70993
fabric,15,odasc_filtering,30,0.95,0.9,0.65331,0.62316,0.71594,0,0.47561,0.51705,0.67507
jgroups,15,odasc_filtering,20,0.95,0.9,0.53982,0.39508,0.79301,0,0.10204,nan,0.5601
nova,15,odasc_filtering,30,0.99,0.8,0.58391,0.50089,0.74623,0,0.41468,0.43659,0.62354
rails,15,odasc_filtering,10,0.99,0.9,0.65764,0.62196,0.71107,0.05,0.53411,0.50546,0.66704
rust,15,odasc_filtering,10,0.95,0.8,0.31981,0.14359,0.95816,0,0.06256,0.18058,0.3204
tensorflow,15,odasc_filtering,10,0.95,0.8,0.68796,0.62035,0.76718,0,0.58839,nan,0.68974
tomcat,15,odasc_filtering,10,0.99,0.9,0.61344,0.68651,0.56642,0,0.48033,0.46118,0.62549
