project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,gmean_bst,r1_bst,r0_bst,cl_rsme_bst,initial_pf,drop_pf,stable_pf
brackets,15,odasc_filtering,20,0.900,0.800,0.62274,0.56063,0.73898,0.403,0.20474,0.42825,0.63917
fabric,15,oob_filtering,10,0.950,-1.000,0.60929,0.46430,0.82770,1.915,0.32511,0.46254,0.63126
nova,15,oob_filtering,20,0.990,-1.000,0.46728,0.31681,0.84931,1.817,0.24048,0.27978,0.55513
broadleaf,15,oob_filtering,30,0.950,-1.000,0.57933,0.41472,0.83056,1.920,0.16418,0.54778,0.59651
broadleaf,15,odasc_filtering,30,0.950,0.900,0.63126,0.54518,0.74819,0.385,0.27412,nan,0.63954
nova,15,odasc_filtering,30,0.990,0.800,0.57965,0.49136,0.74913,0.408,0.42103,0.43065,0.61948
camel,15,oob_filtering,10,0.990,-1.000,0.66170,0.58789,0.75716,1.921,0.56095,0.49447,0.66571
camel,15,odasc_filtering,10,0.999,0.800,0.68016,0.71822,0.65648,0.385,0.57779,0.47342,0.68704
tomcat,15,oob_filtering,15,0.990,-1.000,0.58203,0.43388,0.80897,1.887,0.14288,0.51324,0.59079
jgroups,15,odasc_filtering,20,0.950,0.900,0.52545,0.36601,0.80921,0.444,0.10204,nan,0.54507
tomcat,15,odasc_filtering,10,0.990,0.900,0.63040,0.61982,0.66116,0.426,0.48778,0.49204,0.64290
rails,15,odasc_filtering,10,0.990,0.900,0.65999,0.61904,0.71659,0.405,0.53128,0.53877,0.66954
jgroups,15,oob_filtering,5,0.950,-1.000,0.43317,0.22627,0.89484,1.915,0.08333,0.35206,0.44908
rails,15,oob_filtering,15,0.999,-1.000,0.55329,0.36612,0.86473,1.883,0.09854,0.42755,0.56262
django,15,odasc_filtering,30,0.900,0.900,0.68472,0.57523,0.83375,0.403,0.54526,0.58376,0.70598
django,15,oob_filtering,30,0.950,-1.000,0.57021,0.38550,0.90306,1.834,0.22755,0.38942,0.60873
